timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,Latency,Hostname,"UUID"
2013/11/27 13:30:55.236,1204,Get html,200,OK,Thread Group 1-2,true,168531,180,CACSVM-12354.local,2
2013/11/27 13:30:55.489,972,Get html,200,OK,Thread Group 1-9,true,168535,45,CACSVM-12354.local,9
2013/11/27 13:30:55.799,663,Get html,200,OK,Thread Group 1-12,true,168537,90,CACSVM-12354.local,12
2013/11/27 13:30:55.601,864,Get html,200,OK,Thread Group 1-10,true,168529,49,CACSVM-12354.local,10
2013/11/27 13:30:55.382,1088,Get html,200,OK,Thread Group 1-8,true,168531,87,CACSVM-12354.local,8
2013/11/27 13:30:55.236,1236,Get html,200,OK,Thread Group 1-5,true,168533,187,CACSVM-12354.local,5
2013/11/27 13:30:55.236,1238,Get html,200,OK,Thread Group 1-4,true,168533,204,CACSVM-12354.local,4
2013/11/27 13:30:55.707,768,Get html,200,OK,Thread Group 1-11,true,168533,67,CACSVM-12354.local,11
2013/11/27 13:30:55.897,579,Get html,200,OK,Thread Group 1-13,true,168531,126,CACSVM-12354.local,13
2013/11/27 13:30:56.002,477,Get html,200,OK,Thread Group 1-14,true,168533,68,CACSVM-12354.local,14
2013/11/27 13:30:56.143,435,Get html,200,OK,Thread Group 1-15,true,168535,55,CACSVM-12354.local,15
2013/11/27 13:30:55.238,1450,Get html,200,OK,Thread Group 1-1,true,168531,1013,CACSVM-12354.local,1
2013/11/27 13:30:55.236,1560,Get html,200,OK,Thread Group 1-6,true,168542,1010,CACSVM-12354.local,6
2013/11/27 13:30:55.236,1584,Get html,200,OK,Thread Group 1-3,true,168539,1012,CACSVM-12354.local,3
2013/11/27 13:30:56.298,523,Get html,200,OK,Thread Group 1-16,true,168535,72,CACSVM-12354.local,16
2013/11/27 13:30:55.279,1567,Get html,200,OK,Thread Group 1-7,true,168537,969,CACSVM-12354.local,7
2013/11/27 13:30:56.401,514,Get html,200,OK,Thread Group 1-17,true,168531,72,CACSVM-12354.local,17
2013/11/27 13:30:56.463,619,Call ajax,200,OK,Thread Group 1-9,true,168381,59,CACSVM-12354.local,9
2013/11/27 13:30:56.444,793,Call ajax,200,OK,Thread Group 1-2,true,168374,62,CACSVM-12354.local,2
2013/11/27 13:30:57.083,319,Get Antonio-Regular.tff,200,OK,Thread Group 1-9,true,48286,168,CACSVM-12354.local,9
2013/11/27 13:30:56.480,923,Call ajax,200,OK,Thread Group 1-14,true,168374,89,CACSVM-12354.local,14
2013/11/27 13:30:56.491,915,Get html,200,OK,Thread Group 1-18,true,168537,145,CACSVM-12354.local,18
2013/11/27 13:30:56.581,835,Call ajax,200,OK,Thread Group 1-15,true,168381,74,CACSVM-12354.local,15
2013/11/27 13:30:57.239,277,Get Antonio-Regular.tff,200,OK,Thread Group 1-2,true,48286,89,CACSVM-12354.local,2
2013/11/27 13:30:57.403,129,Get Antonio-Light.ttf,200,OK,Thread Group 1-9,true,46906,42,CACSVM-12354.local,9
2013/11/27 13:30:56.752,812,Get html,200,OK,Thread Group 1-20,true,168536,84,CACSVM-12354.local,20
2013/11/27 13:30:57.405,211,Get Antonio-Regular.tff,200,OK,Thread Group 1-14,true,48286,52,CACSVM-12354.local,14
